"fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc","prepaid","default"
787,201703,"9",203002,"12060",0,1,"P",76,49,187000,76,2.875,"R","N","FRM","GA","PU","30000","F117Q1005490","N",156,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
725,201702,"9",203201,"19380",0,1,"P",77,50,169000,77,3.375,"R","N","FRM","OH","SF","45400","F117Q1005552","N",180,2,"QUICKENLOANINC","QUICKENLOANINC","",1,0
751,201703,"9",203202,"19660",0,1,"P",44,29,117000,44,3.375,"R","N","FRM","FL","SF","32100","F117Q1005623","C",180,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
670,201703,"9",203202,"46140",0,1,"P",73,38,86000,73,3.99,"R","N","FRM","OK","SF","74100","F117Q1005649","C",180,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
742,201702,"N",204701,"36420",25,1,"P",90,27,161000,90,4.125,"R","N","FRM","OK","SF","73100","F117Q1005899","P",360,2,"Other sellers","Other servicers","",1,0
694,201703,"N",204702,"19124",30,1,"P",95,27,320000,95,4.25,"R","N","FRM","TX","SF","75200","F117Q1006000","P",360,1,"Other sellers","Other servicers","",1,0
788,201703,"9",204702,"41740",0,1,"S",80,20,580000,80,4.5,"R","N","FRM","CA","SF","91900","F117Q1006046","P",360,2,"Other sellers","LAKEVIEWLOANSERVICIN","Y",1,0
703,201703,"N",204702,"31084",0,1,"P",80,44,316000,80,4.625,"R","N","FRM","CA","CO","91300","F117Q1006130","P",360,2,"Other sellers","LAKEVIEWLOANSERVICIN","",1,0
692,201703,"Y",204702,"37100",0,1,"P",80,39,510000,80,4.875,"B","N","FRM","CA","SF","91300","F117Q1006397","P",360,2,"STEARNSLENDING,LLC","LAKEVIEWLOANSERVICIN","Y",1,0
755,201703,"N",203202,"18140",0,1,"P",43,45,120000,43,3.875,"R","N","FRM","OH","CO","43000","F117Q1006532","P",180,2,"Other sellers","Other servicers","",1,0
790,201703,"9",203202,"31084",0,1,"I",85,42,278000,67,3.625,"R","N","FRM","CA","SF","91300","F117Q1006584","N",180,2,"Other sellers","Other servicers","",1,0
736,201703,"N",203202,"18140",0,1,"P",80,29,70000,80,3.125,"C","N","FRM","OH","CO","43200","F117Q1007116","P",180,1,"USBANKNA","USBANKNA","",1,0
704,201703,"Y",204702,"25060",30,1,"P",95,42,152000,95,4.5,"R","N","FRM","MS","SF","39500","F117Q1007177","P",360,1,"CALIBERHOMELOANS,INC","CALIBERHOMELOANS,INC","",1,0
760,201703,"9",203202,"38060",0,1,"S",80,24,104000,80,3.75,"R","N","FRM","AZ","SF","85300","F117Q1007561","P",180,2,"Other sellers","ROUNDPOINTMTGESERVIC","",1,0
777,201703,"9",203202,"12060",0,1,"P",74,29,315000,74,3.25,"B","N","FRM","GA","PU","30000","F117Q1007716","N",180,1,"UNITEDSHOREFINANCIAL","Other servicers","",1,0
769,201705,"9",204704,"48900",0,1,"S",51,20,120000,44,4.125,"R","N","FRM","NC","SF","28400","F117Q1007990","C",360,1,"Other sellers","Other servicers","",1,0
776,201703,"9",204702,"",0,1,"P",26,33,92000,26,4.125,"C","N","FRM","CO","SF","81100","F117Q1008215","C",360,1,"BRANCHBANKING&TRUSTC","Other servicers","",1,0
807,201703,"9",204702,"45104",0,1,"P",48,46,238000,48,4.125,"B","N","FRM","WA","PU","98300","F117Q1008240","N",360,2,"Other sellers","Other servicers","",1,0
781,201703,"N",204702,"41740",25,1,"P",90,38,482000,90,4.75,"R","N","FRM","CA","PU","92000","F117Q1008431","P",360,1,"CALIBERHOMELOANS,INC","CALIBERHOMELOANS,INC","Y",1,0
796,201703,"9",203202,"25860",0,1,"S",75,33,173000,75,3.75,"R","N","FRM","NC","SF","28600","F117Q1008622","P",180,2,"Other sellers","Other servicers","",1,0
703,201703,"9",203202,"15980",0,1,"P",77,31,249000,77,3.375,"C","N","FRM","FL","PU","33900","F117Q1008642","N",180,1,"BRANCHBANKING&TRUSTC","Other servicers","",1,0
692,201703,"N",204702,"32780",0,1,"P",80,48,374000,80,4.625,"R","N","FRM","OR","SF","97500","F117Q1008646","P",360,1,"FAIRWAYINDEPENDENTMT","ROUNDPOINTMTGESERVIC","",1,0
689,201703,"9",204702,"30460",0,1,"I",80,32,142000,80,5,"R","N","FRM","KY","PU","40500","F117Q1008707","P",360,2,"FAIRWAYINDEPENDENTMT","ROUNDPOINTMTGESERVIC","",1,0
679,201703,"9",204702,"12060",0,1,"P",70,45,351000,70,4.125,"R","N","FRM","GA","PU","30000","F117Q1008783","N",360,2,"LOANDEPOTCOM,LLC","Other servicers","",1,0
752,201704,"9",204703,"14454",0,1,"P",30,25,83000,30,4.125,"R","N","FRM","MA","SF","02300","F117Q1008829","C",360,2,"Other sellers","Other servicers","",1,0
748,201703,"9",204702,"42644",0,1,"I",75,40,176000,75,4.125,"R","N","FRM","WA","CO","98100","F117Q1008904","C",360,2,"NATIONSTARMTGELLC","NATIONSTARMTGELLCDBA","",1,0
810,201703,"N",204702,"15764",0,1,"P",67,24,400000,67,3.875,"R","N","FRM","MA","SF","01800","F117Q1009038","P",360,2,"Other sellers","Other servicers","",1,0
779,201704,"N",204703,"22220",30,1,"P",95,19,214000,95,4,"R","N","FRM","AR","SF","72700","F117Q1009425","P",360,2,"Other sellers","Other servicers","",1,0
686,201703,"9",204702,"19740",0,1,"P",80,44,267000,80,4.75,"R","N","FRM","CO","SF","80400","F117Q1009485","C",360,1,"LOANDEPOTCOM,LLC","Other servicers","",1,0
784,201703,"9",204702,"10900",0,1,"P",65,36,216000,65,4.125,"B","N","FRM","PA","SF","18100","F117Q1009713","C",360,2,"Other sellers","Other servicers","",1,0
